cle_unique;emplacement_source;datetime_ingestion;privacy_level;nom_entreprise;site_web;taille;date_fondation;secteur;revenu;type_entreprise
277300571538791927007286518378483343057;13713-INFO-SOC-GLASSDOOR-E3142186_P1.html;2021-03-21 11:49:28;0;Crédit Agricole; 1;www.credit-agricole.fr;Inconnu; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise cotée en bourse
93145472143349432983292976025333749981;13639-INFO-SOC-GLASSDOOR-E7448_P1.html;2021-03-21 11:49:28;0;Altran Group; 2,1k;www.altran.com;Plus de 10 000 employés; 1991; Services informatiques; Entre 2 et 5 milliards € (EUR) par an; Entreprise cotée en bourse (ALT) 
333880846106744633638160346078823095747;13634-INFO-SOC-GLASSDOOR-E7633_P1.html;2021-03-21 11:49:28;0;NVIDIA; 2,4k;www.nvidia.com;Plus de 10 000 employés; 1993; Matériel et logiciels informatiques; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (NVDA) 
22591025756014121460800054779908022489;13807-INFO-SOC-GLASSDOOR-E1260894_P1.html;2021-03-21 11:49:28;0;Groupe NICOLLIN - Groupe VEOLIA; 1;www.groupenicollin.com;Inconnu; Inconnu; Inconnu; Ne sait pas / non applicable par an; Inconnu
851557714146526287283297563524146938;13708-INFO-SOC-GLASSDOOR-E4252_P1.html;2021-03-21 11:49:28;0;Groupe Crédit Agricole; 1,1k;www.credit-agricole.com;De 5 001 à 10 000 employés; 1885; Investissements bancaires et gestion d'actifs; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (CRARF) 
86074842690714685486174518787644672183;13728-INFO-SOC-GLASSDOOR-E200717_P1.html;2021-03-21 11:49:28;0;Astek; 228;www.groupeastek.com;De 1 001 à 5 000 employés; 1988; Services informatiques; Entre 100 et 500 millions € (EUR) par an; Entreprise non cotée en bourse
192869219548752453395432773441157706900;13586-INFO-SOC-GLASSDOOR-E649071_P1.html;2021-03-21 11:49:28;0;Groupe Creative; 8;www.groupe-creative.fr;Entre 201 et 500 employés; 2009; Services d'architecture et d'ingénierie; Entre 10 et 25 millions € (EUR) par an; Entreprise non cotée en bourse
148310696112684563596373328965762617250;13755-INFO-SOC-GLASSDOOR-E1762947_P1.html;2021-03-21 11:49:28;0;Open Minds Open Hearts Day Care; 2;www.openmindsopenheartsnola.com;De 1 à 50 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise cotée en bourse
171832566656821122135003253865366714194;13618-INFO-SOC-GLASSDOOR-E1136406_P1.html;2021-03-21 11:49:29;0;SOTRAVO Filiale SOLOCAL GROUP; 2;www.sotravo.fr;Inconnu; Inconnu; Inconnu; Ne sait pas / non applicable par an; Inconnu
62736325711739894933226289758892591479;13772-INFO-SOC-GLASSDOOR-E3974_P1.html;2021-03-21 11:49:29;0;SKF; 497;www.skf.com;Plus de 10 000 employés; 1907; Fabrication industrielle; Entre 5 et 10 milliards € (EUR) par an; Entreprise cotée en bourse (SKFRY) 
96565189527763142793840200730428189907;13673-INFO-SOC-GLASSDOOR-E1464013_P1.html;2021-03-21 11:49:29;0;Paris Inn Group; 14;www.paris-inn-group.com;De 501 à 1 000 employés; Inconnu; Inconnu; Ne sait pas / non applicable par an; Entreprise non cotée en bourse
166055422230395787238627439474520588592;13803-INFO-SOC-GLASSDOOR-E20114_P1.html;2021-03-21 11:49:29;0;Veolia; 1,1k;www.veolia.com;Plus de 10 000 employés; 1853; Services publics de distribution; Entre 2 et 5 milliards € (EUR) par an; Entreprise cotée en bourse (VIE) 
250699681460653842185965723008204784696;13654-INFO-SOC-GLASSDOOR-E899918_P1.html;2021-03-21 11:49:29;0;ITS Overlap; 2;www.itsoverlap.fr;Entre 201 et 500 employés; 2006; Production animale; Ne sait pas / non applicable par an; Entreprise non cotée en bourse
